,Video Title,Published At Date,Comment,Sentiment
33,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,i can't wait for Clown News to be history!,positive
34,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"AMURIKKKA, FUCK YEEAH!!!",neutral
35,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Good job!,positive
36,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Who's side you on??? First y'all say Biden ain't doing anything, now y'all crying about collateral damage",negative
37,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Thanks for sharing, CNN",positive
38,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Cnn your supose to say this move by Biden is the greatest thing ever.,positive
39,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"That is so sad, omg how you killed little babies. I just had a son and my heart can't handle the pain. I'm a full grown man.",negative
40,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"_""War doesn't determine who's right, but who's left.""_ -- Bertrand Russell",positive
41,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"What's the difference between a Syrian kindergarten and an ISIS hospital? I wouldn't know, I'm just a simple United States Air Force drone operator.",neutral
42,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,What were his children responsible for?,neutral
43,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,War on terror is similar to war in drugs.... They are the never ending wars,neutral
44,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Did don lemon get a new cut and a tan?,neutral
45,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Has Little Brian Stetzler been promoted to CNN president yet?,negative
46,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Evil, , and power hungry will only hurt innocents especially children, bring only pain and death, anguish, vengeance, endless violence and hate, and etc.‼",negative
47,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,I'm working towards getting revenge on this network.,positive
48,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Children as collateral damage is absolutely not acceptable.,negative
49,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Who are the terrorists, the victims or the perpetrators?",positive
50,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,I just cant with CNN anymore. Give the man some credit. Nobody cared when trump did it. Or when he let them all out of jail so they could reform. Crickets.,negative
51,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"The age of consent is under 18 in 40 states in america, america also has the world record for the lowest age of consent in world history, the state of delaware in 1880 at 7 years old..",negative
52,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Why they always hit & run ?? Ohh innocent Children,neutral
53,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Biden means business! Promises made promises kept!,positive
54,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,All is fair in love and war,positive
55,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,God bless America ,positive
56,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,This is sad news for usa.,negative
57,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,*I FEEL SO MUCH SAFER BRANDON GOT THAT HOUSE FULL OF KIDS OUT IN MIDDLE OF THE DESERT *,positive
58,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Good job Mr President Biden!!! If it was possible to eliminate all these thugs …..! PS sorry gif the children really but this is their obscure culture and they want it this way!!!!!!,negative
59,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,If the new leader could be a peaceful man would be nice,positive
60,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,I've never seen anything so graphic,negative
61,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,This is bad news for the United States.,negative
62,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Fake news,neutral
63,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Let’s go Brandon!!!,positive
64,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,*BRANDON GOT THOSE 6 CHILDREN REAL GOOD *,positive
65,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,blown himself??? NONSENSE ALL THE PEOPLE ON THE VILLAGE SAID IT WAS AN AMERICAN HELICOPTER THAT BOMB THAT HOUSE!!!,neutral
66,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,That's horrible I can't believe the kids were shown,negative
67,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Way to kill all those innocent people to get one guy! Let's go Brandon!,positive
68,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"The sixth angel poured out his bowl on the great river Euphrates, and its water was dried up to prepare the way for the kings from the East......",negative
69,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"May god, supreme beings, ancestors, or whatever you want to call it... protect USA from any evil doers, evil intensions, destructions, chaos, and etc. either domestic or foreign‼",positive
70,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Defund our Military.,neutral
71,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Feel sorry for the team that caves to this pressure and turns into a losing franchise. All leaders should be chosen based on their abilities!,negative
72,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"The look on Ferdinand's face in the 1st photo looks like he's thinking, ""Man I'm about to say some stupid  but at least they're paying me to"".",neutral
73,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,DOES IT MATTER? WHY RACE IS SO IMPORTANT IF YOU CLAIM NOT TO BE RACIST? WHY NOT JUDGE ON THE CHARACTER AND TALENT OF THE COACHES INSTEAD OF PAYING ATTENTION TO THEIR RACE?,positive
74,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,women should go in the NFL and NBA too. no separate,negative
75,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,We need more white or Asian wide receivers and running backs too?,neutral
76,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,WHY IS RACE SO IMPORTANT IF YOU PRETEND NOT TO BE RACIST? WHY NOT JUDGE THE COACHES ON THEIR CHARACTER AND TALENT INSTEAD OF PAYING ATTENTION TO THEIR RACE?,neutral
77,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"You can't compare Football with Basketball. Basketball has to shore up, and try to expand, its fan base through media stunts and virtue signalling. Football doesn't.",negative
78,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Nobody has a problem with the lack of diversity at defensive back.

I Wonder why  ",positive
79,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,It's not enough that Jeff Zucker is gone. Everyone who defended him should be gone as well.,negative
80,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Anderson Cooper should give his job to a black man, set an example for businesses in America",positive
81,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Still no coverage on the latest Johns Hopkins lockdown study.,negative
82,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Courtney Stodden claimed the jokes CNN's Anderson Cooper made about her back in 2011 were equivalent to ""bullying a child.""",negative
83,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"He needs to worry about why the NBA never gave him a head coaching job , but they are considering hiring a woman coach ",neutral
84,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"What percentage of the US population is Asian? Well, let me ask one more question. What percentage of the NFL players is Asian? It's just silly.",positive
85,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Kareem Abdul Jabbar Greatest athlete and I miss those days when you used to play for Lakers and I wish you long and healthy life,negative
86,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Why do you always look at the top of companies for your outrage? You just mentioned a disparity in players being 60% POC therefore over represented. How many POC players are you going to fire to ensure that all ethnic groups are fairly represented as their share of the overall population?,neutral
87,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Some of THE BEST Coaches, Trainers, Etc. are white. Some Trainers and Coaches that are brought in in Boxing, don't speak Spanish, and they work with Hispanic Fighters using interpreters. One of the Best Trainers in history was a White guy named Cus D'Amato. He trained Mike Tyson and Mentored Muhammad Ali. Before claiming racism, stop and think about how things actually work and what could be lost...",positive
88,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Nobody becomes a millionaire or billionaire by working for others and depending on them, good Investment breed millions of dollars and consistency breed billions",positive
89,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,I don't think CNN knows he is not a real doctor,negative
90,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,This is a stupid argument. Bill Belichick makes 12.5 millon a year. How many black NFL player make more money then him? There are more than a few black coaches on teams. Just not head coaches. Who gives a crap. Maybe because they actually want to play the sport and make ALOT more.,negative
91,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,You know it's a slow news day when a washed up old player tries talking about something current.,negative
92,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Forget the coaches.  Why has there never been a black owner.  It's 2022.  With a majority of players and skill, why do people that look like me still support the NFL in any way?",negative
93,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Right on! What a scandal! Not enough African-Americans, and where are the Asian NFL coaches? Lesbian and Trans coaches? Disabled coaches? What, people think Football is a game?",negative
94,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Diversity over competence, ability, knowledge. Diversity first.",positive
95,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,What about the lack of diversity of the players?,positive
96,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Coaching is about the mind not your skin color.,positive
97,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"I think you have your guest mistaken for someone else. That's not Kareem Abdul-Jabbar, his name's Roger Murdoch. He's a co-pilot.",positive
98,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Yeah coaches should be chosen by race and nothing else!,positive
99,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"I agree, need more Arab coaches in NFL",neutral
100,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Hmmm, if you love the game so much, you would teach anywhere, even at an elementary school, is he more upset the he can't make millions, ",negative
101,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"I can barely contain myself at how bad cnn is floundering right now!! Its delicious, sweet anti American leftist tears yummy!! Byebye cnn ",neutral
102,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Not uncommon for the capable to be on the front lines and gradually go to management when they aren't anymore.,negative
103,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Apparently, choosing the best qualified person for the job is a thing of the past; now the goal is diversity ... what could possibly go wrong? ",positive
104,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,We need more diversity in the NBA with the players.,positive
105,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Do we have any Asian NFL coaches?  How about Middle Eastern?  I know we have too many black players.  If ""diversity"" is, you know, the GOAL.",positive
106,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"CNN's ""diversity expert"" represents the least most diverse professional sport in the USA  CNN is hilarious. LET'S GO BRANDON ",positive
107,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Wow.  Kareem speaking on diversity.    Please speak on how diverse the NBA is.   Gotcha ya buddy.  We want more Asians in the NFL and NBA,positive
108,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Didn’t expect Kareem who was born in 1947 to be so SJW,neutral
109,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Hey CNN...still on the air? HOW? No one watches. Unless to make fun. Hence---ME. A CLUE CNN...Kareem is a BASKETBALL player. You're babbling about the NFL remember?,neutral
110,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"The age of consent is under 18 in 40 states in america, america also has the world record for the lowest age of consent in world history, the state of delaware in 1880 at 7 years old...",negative
111,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"""Therefore you shall have night without vision, and you shall have darkness without divination; The sun shall go down on the prophets, And the day shall be dark for them. -Micah 3:6",positive
112,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"I think pro sports at this highest level are so driven to win because winning means big money. Given that, I think the GMs & owners hire the coach who they think will best help them win regardless of race. There are six times more whites than blacks in USA yet it seems at least half of NFL players are black. Why? Because the owners think they'll help them win. Where's the racism ythere. It seems over half of NBA players are black. Where's the racism there? How do you make a blanket statement without real specific facts . It's like a quota requirement. 
Let them chose who they think will best help them win.",neutral
113,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Were is the diversity among players in the NBA. Why does noone care about that?,neutral
114,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,All this wokeness in sports makes me not want to watch it altogether….,negative
115,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Give them black coaches. Then there could be more sports related drive by and gang crime,positive
116,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,I think that and I'm white.  Owners too.  But does it matter?  They're just playing positions.,negative
117,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"??? When has elite sport ever been about equal opportunity? It's a cut-throat world of _'the one who gets results, gets the job'._ Coaches get fired for a losing streak or unfulfilled expectations. Where does affirmative action enter the equation?",negative
118,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,It's nonsense like this that turns people away from sports and entertainment.  Just play the game like the fans pay you to do.,positive
119,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Obsession with race instead of the best qualified person for the job.,positive
120,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,There's not enough white players in basketball,negative
121,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Blablabla, the only respect a sane person has left for CNN is you guys allowing the comment section to stay open. It's the only thing worthwile you ""produce"", and it's a byproduct of your silly reporterstatus  only 500k viewers.. Should be hurting by now ",neutral
122,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,We can debate why blacks are 60% of players as well as only 1 or 2 coaches that are black out of 32,neutral
123,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Guess what coaches and players require different skills, being a good player doesn’t necessarily translate to being a good coach. Players need to be athletic coaches need to be smart. That’s why there is a discrepancy.",neutral
124,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,I'm making a list. We'll see who gets the last laugh.,positive
125,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Everything will be fine if black stop complaining,positive
126,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,So let him go to coach himself!,positive
127,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"All the hate I had for Jeff Zucker is now transferred to anyone who defended him or had kind words for him. Anyone who was upset about it. I didn't know who Michael Bass was yesterday, but I now consider him my mortal enemy.",negative
128,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,They play they most they should coach the most simple .,positive
129,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Yeah when I took a trip to africa, the first thing I did was slam the leadership for its lack of diversity.

Can you believe this? In a predominately black culture, the majority of leaders happen to be black! I mean, why aren't they importing asians into that country?

And look at Japan and China! Mostly Asians -- it's all you see on T.V.! Not a single black person or white folk on there.
Sickening.

And in Muslim countries, I am just frustrated with the lack of open arms for Christians. Diversity is a strength, Muslim religion!",neutral
130,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"hahaha the NFL supported the left, now the left is attacking its own, omg, falling down like dominoes, great tv ",positive
131,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Hey   CNN , , If you fire Brian Stelter . I'll think about coming back ...",positive
132,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,I'm just here to watch the collapse of CNN.,positive
133,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Boo who. Well step up to the plate and spend 5 billion and buy your own team. Just like Strahan had to bring up the race card on the NFL network. He said not enough black ownership.
It cost money Strahan.
Maybe Oprah will loan you the dough fellas.
Even Mahomes at the young age of 26 is already  part owner of KC Royals",negative
134,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,More divisive segments pushed by our moral betters at CNN.,neutral
135,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,More diversity hires please! I am anti-straight white.,positive
136,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Another has been with no influence on current issues.,negative
137,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,MLK is rolling over in his grave smh,negative
138,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Cnn sure hits the real issue,neutral
139,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Kareem’s brain is lacking glucose.,negative
140,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Race baitin cnn never fails for a good laugh,positive
141,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Stop ur whining…. Stop playing the Victim…,neutral
142,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,This video perfectly sums up why CNN ratings are in the toilet. This is supposed to be a a serious news station???,negative
143,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,CNN is going down the toilet whoop whoop,negative
144,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,I GOT FIRED BECAUSE OF RACISM AND NOT THE SIMPLE FACT I SUCKED AT MY JOB. LET'S GO BRANDON ,neutral
145,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,lol and they say AA is a myth...,positive
146,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,How much diversity exists in the NBA?,positive
147,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Yall Get ready!!!!!!! Soon CNN will be calling every truck driver in this country a white supremacist!,positive
148,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Boycott the NFL,negative
149,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Rest in Peace CNN.  Your time has passed.,negative
150,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"We are sick and tired of hearing about this crap. Sports is sports - We want to see Brilliant coaches applying brilliant strategies to brilliant players that behave in an almost supernormal way. 

We're tired of listening to politics. We just want to go to the game.",neutral
151,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,How about the lack of diversity in running backs??!!,positive
152,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Its a waste of time for Blacks to try an integrate the NFL coaching. Most euros believe anything requiring the use of their brain, they should get that job, and anything requiring hard labor, blacks should get that job.  Blacks should quit the NFL and organize their own league where the best players and coaches will get the job.",neutral
153,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Well go apply if you want it.,positive
154,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,OMB is racist. I bet if we all did these ancestry tests then we would all have the same backgrounds. OMB divided the world into 6 groups. That's racist,negative
155,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,The owner has the right to hire whoever they want. They own the team. What part of that don’t people get?,negative
156,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"The son of basketball legend Kareem Abdul-Jabbar was sentenced to six months in jail for stabbing a Southern California neighbor with a hunting knife during an argument over trash cans, prosecutors said(Nov 2021).",negative
157,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Cooper, please remember your position in this fight. You, a white gay male (some would say part of the problem), are also a respected member of white newscasters. I respect your position on diversity, but don't forget how it arrived.",positive
158,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"How much Diversity is in the NBA? 
We don’t build Teams via Diversity………..
We don’t pick Coaches via Diversity neither……….. 

That’s called Discrimination when deciding positions based upon RACE over Qualifications

As a JETS fan I recall Herm Edwards 
*” We Play to WIN the Game “*
Wasn’t hired cuz he was Diverse but rather cuz he was extremely intelligent Defensive Coordinator & ex Pro himself",neutral
159,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,RIP CNN ,negative
160,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,clown network lies and propiganda a sinking ship. LETS GO BRANDON!,neutral
161,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"To all the Clowns, Jokers and Comedians: Please keep working on your material and don't quit your day jobs!
All the best ... ",positive
162,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,They were hoping no one would notice.,negative
163,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,hahahahaha,positive
164,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,how many people really think that all this political correctness is making people feel better when it comes to race relations?,positive
165,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,NBA new billionaires NFL old billionaires see the difference,positive
166,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Why isn’t he arguing for more Asians, Jews, and Indians to balance out the player rosters which are predominantly black?",negative
167,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Picking a person for their characteristics instead of their qualifications really worked out with our failure of a VP. LET'S GO HEELS UP ,positive
168,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,Another gem from CNN. ,positive
169,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,If the best players are black... it's a no-brainer,positive
170,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Let's say you're flipping a coin but it lands heads 95% of the time.  Would you say that coin is biased?  Same thing here, clear as day.  Though some of you might prefer to argue that tails just doesn't work hard enough...  Sad.",negative
171,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,How about the lack of diversity of the NBA or NFL players? LET'S GO BRANDON ,positive
172,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Instead of dealing with his own inadequacies as a coach, he blames others. Not everything in life is about race, gender or class. If he were an exceptionally talented coach, believe me, he would have a head coaching position. The fact is he’s mediocre. The narrative that the NFL is actively repressing the advancement of black talent in coaching positions is absurd. What would they gain from it? The owners are about their bottom-line, and winning. That’s it.",positive
173,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,"Hey pretty blue eyes, I think they need Eskimo coaches.  What do you think, Anderson?  Eskimos?",positive
174,Kareem Abdul-Jabbar slams lack of diversity among NFL coaches,2022-02-04,,neutral
